Data,Count,Categoria,Análise,Relatório
2024-07-02 16:00:00,1066,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 17:00:00,1786,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 18:00:00,1853,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 19:00:00,1719,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 20:00:00,1813,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 21:00:00,1746,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 22:00:00,1486,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-02 23:00:00,1553,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 00:00:00,966,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 01:00:00,453,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 02:00:00,339,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 03:00:00,253,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 04:00:00,393,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 05:00:00,486,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 06:00:00,799,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 07:00:00,1053,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 08:00:00,1313,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 09:00:00,1579,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 10:00:00,2286,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 11:00:00,1979,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 12:00:00,2786,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 13:00:00,2593,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 14:00:00,2033,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 15:00:00,2666,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 16:00:00,2193,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 17:00:00,2173,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 18:00:00,2153,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 19:00:00,2459,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 20:00:00,1966,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 21:00:00,1753,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 22:00:00,1566,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-03 23:00:00,1639,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 00:00:00,1113,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 01:00:00,606,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 02:00:00,359,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 03:00:00,306,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 04:00:00,173,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 05:00:00,506,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 06:00:00,599,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 07:00:00,1259,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 08:00:00,1306,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 09:00:00,1246,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 10:00:00,1346,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 11:00:00,1486,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 12:00:00,1506,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 13:00:00,1433,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 14:00:00,1539,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 15:00:00,1966,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 16:00:00,1819,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 17:00:00,1639,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 18:00:00,1839,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 19:00:00,1633,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 20:00:00,1466,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 21:00:00,1453,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 22:00:00,1253,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-04 23:00:00,1033,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-05 00:00:00,793,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-05 01:00:00,353,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-05 02:00:00,326,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
2024-07-05 03:00:00,299,Eleições EUA,Evolução de menções no X,#2_POLICYREPORT_FGV Comunicação Rio
